time,temperature_2m_min,temperature_2m_max,precipitation_sum,ville,source
2024-02-10,18.6,25.2,1.5,Antananarivo,open-meteo
2024-02-11,18.7,27.6,1.8,Antananarivo,open-meteo
2024-02-12,18.6,26.1,3.4,Antananarivo,open-meteo
2024-02-13,18.4,24.0,1.5,Antananarivo,open-meteo
2024-02-14,18.6,21.4,66.9,Antananarivo,open-meteo
2024-02-15,18.6,25.6,18.9,Antananarivo,open-meteo
2024-02-16,17.3,28.4,18.9,Antananarivo,open-meteo
2024-02-17,17.7,25.1,17.0,Antananarivo,open-meteo
2024-02-18,18.0,25.7,22.0,Antananarivo,open-meteo
2024-02-19,17.3,22.4,0.4,Antananarivo,open-meteo
2024-02-20,16.2,24.6,5.4,Antananarivo,open-meteo
2024-02-21,15.8,24.8,2.3,Antananarivo,open-meteo
2024-02-22,16.3,26.0,1.9,Antananarivo,open-meteo
2024-02-23,17.7,27.2,0.5,Antananarivo,open-meteo
2024-02-24,17.8,27.0,0.0,Antananarivo,open-meteo
2024-02-25,15.7,28.5,0.0,Antananarivo,open-meteo
2024-02-26,14.4,28.3,0.8,Antananarivo,open-meteo
2024-02-27,18.0,26.0,17.1,Antananarivo,open-meteo
2024-02-28,17.3,24.5,13.9,Antananarivo,open-meteo
2024-02-29,16.6,25.0,11.3,Antananarivo,open-meteo
2024-03-01,16.0,25.1,5.8,Antananarivo,open-meteo
2024-03-02,16.9,23.5,1.2,Antananarivo,open-meteo
2024-03-03,15.4,24.6,0.2,Antananarivo,open-meteo
2024-03-04,17.7,25.1,39.7,Antananarivo,open-meteo
2024-03-05,18.4,26.5,8.6,Antananarivo,open-meteo
2024-03-06,17.6,27.6,7.7,Antananarivo,open-meteo
2024-03-07,19.0,26.8,18.1,Antananarivo,open-meteo
